#B magnetization energy
-0.15000 -0.94202 -1.95386
-0.14000 -0.93904 -1.93323
-0.13000 -0.93858 -1.92626
-0.12000 -0.94214 -1.92346
-0.11000 -0.93076 -1.88930
-0.10000 -0.93600 -1.89084
-0.09000 -0.94074 -1.89271
-0.08000 -0.93418 -1.86721
-0.07000 -0.92824 -1.84154
-0.06000 -0.93536 -1.84812
-0.05000 -0.92644 -1.81772
-0.04000 -0.92622 -1.81549
-0.03000 -0.91604 -1.78644
-0.02000 -0.92104 -1.77802
-0.01000 -0.91908 -1.76503
0.00000 -0.92394 -1.76608
0.01000 -0.89408 -1.70470
0.02000 -0.90642 -1.70911
0.03000 -0.89486 -1.69563
0.04000 -0.88914 -1.67495
0.05000 0.11754 -1.70908
0.06000 0.92610 -1.83313
0.07000 0.93228 -1.85126
0.08000 0.92930 -1.85254
0.09000 0.93640 -1.87864
0.10000 0.93416 -1.88542
0.11000 0.93524 -1.89504
0.12000 0.93950 -1.91754
0.13000 0.94260 -1.93494
0.14000 0.94276 -1.94535
0.15000 0.94420 -1.95671
0.15000 0.94306 -1.95186
0.14000 0.93260 -1.92748
0.13000 0.93882 -1.93089
0.12000 0.93730 -1.91160
0.11000 0.93170 -1.89113
0.10000 0.93692 -1.88969
0.09000 0.93538 -1.87786
0.08000 0.93484 -1.86731
0.07000 0.93156 -1.85205
0.06000 0.93452 -1.85051
0.05000 0.92886 -1.82676
0.04000 0.92178 -1.80459
0.03000 0.92022 -1.78853
0.02000 0.92740 -1.79163
0.01000 0.91736 -1.76665
0.00000 0.91182 -1.74424
-0.01000 0.89386 -1.71266
-0.02000 0.90218 -1.70832
-0.03000 0.88402 -1.67532
-0.04000 -0.73772 -1.78159
-0.05000 -0.91802 -1.80846
-0.06000 -0.93198 -1.84240
-0.07000 -0.92432 -1.83806
-0.08000 -0.93088 -1.85467
-0.09000 -0.93546 -1.87819
-0.10000 -0.94062 -1.90390
-0.11000 -0.93234 -1.89516
-0.12000 -0.93812 -1.91397
-0.13000 -0.93774 -1.92155
-0.14000 -0.94380 -1.94641
-0.15000 -0.94206 -1.95355
